attempt_id,mandate_id,arm,cycle_index,scheduled_date,original_scheduled_date,attempt_number,amount_paise,rail,bank,psp_app,hour,day_of_month,days_since_salary_credit,outcome,intervention_action,suppressed_native_retry
MND000003-C3-A1,MND000003,treatment,3,2025-12-25,2025-12-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C4-A1,MND000003,treatment,4,2026-01-27,2026-01-27,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,27,2,SUCCESS,NONE,False
MND000003-C5-A1,MND000003,treatment,5,2026-02-25,2026-02-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C6-A1,MND000003,treatment,6,2026-03-25,2026-03-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C7-A1,MND000003,treatment,7,2026-04-27,2026-04-27,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,27,2,SUCCESS,NONE,False
MND000003-C8-A1,MND000003,treatment,8,2026-05-25,2026-05-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C9-A1,MND000003,treatment,9,2026-06-25,2026-06-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C10-A1,MND000003,treatment,10,2026-07-27,2026-07-27,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,27,2,SUCCESS,NONE,False
MND000003-C11-A1,MND000003,treatment,11,2026-08-25,2026-08-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000004-C0-A1,MND000004,control,0,2025-09-01,2025-09-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C1-A1,MND000004,control,1,2025-10-01,2025-10-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C2-A1,MND000004,control,2,2025-11-03,2025-11-03,1,34900,UPI_AUTOPAY,BOB,GPAY,10,3,2,SUCCESS,NONE,False
MND000004-C3-A1,MND000004,control,3,2025-12-01,2025-12-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,FAILED,NONE,False
MND000004-C3-A2,MND000004,control,3,2025-12-02,2025-12-01,2,34900,UPI_AUTOPAY,BOB,GPAY,9,2,1,SUCCESS,NONE,False
MND000004-C4-A1,MND000004,control,4,2026-01-01,2026-01-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C5-A1,MND000004,control,5,2026-02-02,2026-02-02,1,34900,UPI_AUTOPAY,BOB,GPAY,10,2,1,SUCCESS,NONE,False
MND000004-C6-A1,MND000004,control,6,2026-03-02,2026-03-02,1,34900,UPI_AUTOPAY,BOB,GPAY,10,2,1,SUCCESS,NONE,False
MND000004-C7-A1,MND000004,control,7,2026-04-01,2026-04-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C8-A1,MND000004,control,8,2026-05-04,2026-05-04,1,34900,UPI_AUTOPAY,BOB,GPAY,10,4,3,FAILED,NONE,False
MND000004-C8-A2,MND000004,control,8,2026-05-05,2026-05-04,2,34900,UPI_AUTOPAY,BOB,GPAY,10,5,4,SUCCESS,NONE,False
MND000004-C9-A1,MND000004,control,9,2026-06-01,2026-06-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C10-A1,MND000004,control,10,2026-07-01,2026-07-01,1,34900,UPI_AUTOPAY,BOB,GPAY,10,1,0,SUCCESS,NONE,False
MND000004-C11-A1,MND000004,control,11,2026-08-03,2026-08-03,1,34900,UPI_AUTOPAY,BOB,GPAY,10,3,2,SUCCESS,NONE,False
MND000005-C0-A1,MND000005,treatment,0,2025-09-01,2025-09-01,1,49900,UPI_AUTOPAY,BOB,PHONEPE,10,1,0,SUCCESS,NONE,False
MND000005-C1-A1,MND000005,treatment,1,2025-10-01,2025-10-01,1,49900,UPI_AUTOPAY,BOB,PHONEPE,10,1,0,SUCCESS,NONE,False
MND000005-C2-A1,MND000005,treatment,2,2025-11-03,2025-11-03,1,49900,UPI_AUTOPAY,BOB,PHONEPE,10,3,2,SUCCESS,NONE,False
MND000005-C3-A1,MND000005,treatment,3,2025-12-01,2025-12-01,1,49900,UPI_AUTOPAY,BOB,PHONEPE,10,1,0,FAILED,NONE,False
MND000005-C3-A2,MND000005,treatment,3,2025-12-02,2025-12-01,2,49900,UPI_AUTOPAY,BOB,PHONEPE,22,2,1,SUCCESS,NONE,False
MND000006-C0-A1,MND000006,control,0,2025-09-08,2025-09-08,1,99900,UPI_AUTOPAY,SBI,GPAY,10,8,1,SUCCESS,NONE,False
MND000006-C1-A1,MND000006,control,1,2025-10-07,2025-10-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C1-A2,MND000006,control,1,2025-10-08,2025-10-07,2,99900,UPI_AUTOPAY,SBI,GPAY,22,8,1,SUCCESS,NONE,False
MND000006-C2-A1,MND000006,control,2,2025-11-07,2025-11-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C2-A2,MND000006,control,2,2025-11-10,2025-11-07,2,99900,UPI_AUTOPAY,SBI,GPAY,9,10,3,SUCCESS,NONE,False
MND000006-C3-A1,MND000006,control,3,2025-12-08,2025-12-08,1,99900,UPI_AUTOPAY,SBI,GPAY,10,8,1,FAILED,NONE,False
MND000006-C3-A2,MND000006,control,3,2025-12-09,2025-12-08,2,99900,UPI_AUTOPAY,SBI,GPAY,9,9,2,SUCCESS,NONE,False
MND000006-C4-A1,MND000006,control,4,2026-01-07,2026-01-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C4-A2,MND000006,control,4,2026-01-08,2026-01-07,2,99900,UPI_AUTOPAY,SBI,GPAY,22,8,1,SUCCESS,NONE,False
MND000006-C5-A1,MND000006,control,5,2026-02-09,2026-02-09,1,99900,UPI_AUTOPAY,SBI,GPAY,10,9,2,FAILED,NONE,False
MND000006-C5-A2,MND000006,control,5,2026-02-10,2026-02-09,2,99900,UPI_AUTOPAY,SBI,GPAY,11,10,3,FAILED,NONE,False
MND000006-C5-A3,MND000006,control,5,2026-02-11,2026-02-09,3,99900,UPI_AUTOPAY,SBI,GPAY,10,11,4,FAILED,NONE,False
MND000006-C6-A1,MND000006,control,6,2026-03-09,2026-03-09,1,99900,UPI_AUTOPAY,SBI,GPAY,10,9,2,FAILED,NONE,False
MND000006-C6-A2,MND000006,control,6,2026-03-10,2026-03-09,2,99900,UPI_AUTOPAY,SBI,GPAY,22,10,3,SUCCESS,NONE,False
MND000006-C7-A1,MND000006,control,7,2026-04-07,2026-04-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C7-A2,MND000006,control,7,2026-04-08,2026-04-07,2,99900,UPI_AUTOPAY,SBI,GPAY,23,8,1,SUCCESS,NONE,False
MND000006-C8-A1,MND000006,control,8,2026-05-07,2026-05-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C8-A2,MND000006,control,8,2026-05-08,2026-05-07,2,99900,UPI_AUTOPAY,SBI,GPAY,23,8,1,SUCCESS,NONE,False
MND000006-C9-A1,MND000006,control,9,2026-06-08,2026-06-08,1,99900,UPI_AUTOPAY,SBI,GPAY,10,8,1,FAILED,NONE,False
MND000006-C9-A2,MND000006,control,9,2026-06-09,2026-06-08,2,99900,UPI_AUTOPAY,SBI,GPAY,9,9,2,SUCCESS,NONE,False
MND000006-C10-A1,MND000006,control,10,2026-07-07,2026-07-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C10-A2,MND000006,control,10,2026-07-08,2026-07-07,2,99900,UPI_AUTOPAY,SBI,GPAY,11,8,1,FAILED,NONE,False
MND000006-C10-A3,MND000006,control,10,2026-07-09,2026-07-07,3,99900,UPI_AUTOPAY,SBI,GPAY,9,9,2,SUCCESS,NONE,False
MND000006-C11-A1,MND000006,control,11,2026-08-07,2026-08-07,1,99900,UPI_AUTOPAY,SBI,GPAY,10,7,0,FAILED,NONE,False
MND000006-C11-A2,MND000006,control,11,2026-08-10,2026-08-07,2,99900,UPI_AUTOPAY,SBI,GPAY,14,10,3,SUCCESS,NONE,False
MND000007-C0-A1,MND000007,treatment,0,2025-09-08,2025-09-08,1,99900,CARD_EMANDATE,ICICI,,10,8,1,SUCCESS,NONE,False
MND000008-C0-A1,MND000008,control,0,2025-09-01,2025-09-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C1-A1,MND000008,control,1,2025-10-01,2025-10-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C2-A1,MND000008,control,2,2025-11-03,2025-11-03,1,99900,CARD_EMANDATE,AXIS,,10,3,2,SUCCESS,NONE,False
MND000008-C3-A1,MND000008,control,3,2025-12-01,2025-12-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C4-A1,MND000008,control,4,2026-01-01,2026-01-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C5-A1,MND000008,control,5,2026-02-02,2026-02-02,1,99900,CARD_EMANDATE,AXIS,,10,2,1,SUCCESS,NONE,False
MND000008-C6-A1,MND000008,control,6,2026-03-02,2026-03-02,1,99900,CARD_EMANDATE,AXIS,,10,2,1,SUCCESS,NONE,False
MND000008-C7-A1,MND000008,control,7,2026-04-01,2026-04-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C8-A1,MND000008,control,8,2026-05-04,2026-05-04,1,99900,CARD_EMANDATE,AXIS,,10,4,3,SUCCESS,NONE,False
MND000008-C9-A1,MND000008,control,9,2026-06-01,2026-06-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C10-A1,MND000008,control,10,2026-07-01,2026-07-01,1,99900,CARD_EMANDATE,AXIS,,10,1,0,SUCCESS,NONE,False
MND000008-C11-A1,MND000008,control,11,2026-08-03,2026-08-03,1,99900,CARD_EMANDATE,AXIS,,10,3,2,SUCCESS,NONE,False
MND000009-C0-A1,MND000009,treatment,0,2025-09-25,2025-09-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C0-A2,MND000009,treatment,0,2025-09-26,2025-09-25,2,199900,CARD_EMANDATE,YES,,23,26,1,SUCCESS,NONE,False
MND000009-C1-A1,MND000009,treatment,1,2025-10-27,2025-10-27,1,199900,CARD_EMANDATE,YES,,10,27,2,FAILED,NONE,False
MND000009-C1-A2,MND000009,treatment,1,2025-10-28,2025-10-27,2,199900,CARD_EMANDATE,YES,,23,28,3,SUCCESS,NONE,False
MND000009-C2-A1,MND000009,treatment,2,2025-11-25,2025-11-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C2-A2,MND000009,treatment,2,2025-11-26,2025-11-25,2,199900,CARD_EMANDATE,YES,,22,26,1,SUCCESS,NONE,False
MND000009-C3-A1,MND000009,treatment,3,2025-12-25,2025-12-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C3-A2,MND000009,treatment,3,2025-12-26,2025-12-25,2,199900,CARD_EMANDATE,YES,,22,26,1,FAILED,NONE,False
MND000009-C3-A3,MND000009,treatment,3,2025-12-29,2025-12-25,3,199900,CARD_EMANDATE,YES,,23,29,4,SUCCESS,NONE,False
MND000009-C4-A1,MND000009,treatment,4,2026-01-27,2026-01-27,1,199900,CARD_EMANDATE,YES,,10,27,2,FAILED,NONE,False
MND000009-C4-A2,MND000009,treatment,4,2026-01-28,2026-01-27,2,199900,CARD_EMANDATE,YES,,10,28,3,FAILED,NONE,False
MND000009-C4-A3,MND000009,treatment,4,2026-01-29,2026-01-27,3,199900,CARD_EMANDATE,YES,,14,29,4,FAILED,NONE,False
MND000009-C5-A1,MND000009,treatment,5,2026-02-25,2026-02-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C5-A2,MND000009,treatment,5,2026-02-26,2026-02-25,2,199900,CARD_EMANDATE,YES,,9,26,1,SUCCESS,NONE,False
MND000009-C6-A1,MND000009,treatment,6,2026-03-25,2026-03-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C6-A2,MND000009,treatment,6,2026-03-26,2026-03-25,2,199900,CARD_EMANDATE,YES,,9,26,1,SUCCESS,NONE,False
MND000009-C7-A1,MND000009,treatment,7,2026-04-27,2026-04-27,1,199900,CARD_EMANDATE,YES,,10,27,2,FAILED,NONE,False
MND000009-C7-A2,MND000009,treatment,7,2026-04-28,2026-04-27,2,199900,CARD_EMANDATE,YES,,14,28,3,SUCCESS,NONE,False
MND000009-C8-A1,MND000009,treatment,8,2026-05-25,2026-05-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C8-A2,MND000009,treatment,8,2026-05-26,2026-05-25,2,199900,CARD_EMANDATE,YES,,11,26,1,FAILED,NONE,False
MND000009-C8-A3,MND000009,treatment,8,2026-05-27,2026-05-25,3,199900,CARD_EMANDATE,YES,,22,27,2,SUCCESS,NONE,False
MND000009-C9-A1,MND000009,treatment,9,2026-06-25,2026-06-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C9-A2,MND000009,treatment,9,2026-06-26,2026-06-25,2,199900,CARD_EMANDATE,YES,,23,26,1,SUCCESS,NONE,False
MND000009-C10-A1,MND000009,treatment,10,2026-07-27,2026-07-27,1,199900,CARD_EMANDATE,YES,,10,27,2,FAILED,NONE,False
MND000009-C10-A2,MND000009,treatment,10,2026-07-28,2026-07-27,2,199900,CARD_EMANDATE,YES,,22,28,3,SUCCESS,NONE,False
MND000009-C11-A1,MND000009,treatment,11,2026-08-25,2026-08-25,1,199900,CARD_EMANDATE,YES,,10,25,0,FAILED,NONE,False
MND000009-C11-A2,MND000009,treatment,11,2026-08-26,2026-08-25,2,199900,CARD_EMANDATE,YES,,23,26,1,SUCCESS,NONE,False
MND000010-C0-A1,MND000010,treatment,0,2025-09-15,2025-09-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C1-A1,MND000010,treatment,1,2025-10-15,2025-10-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C2-A1,MND000010,treatment,2,2025-11-17,2025-11-17,1,99900,CARD_EMANDATE,AXIS,,10,17,2,SUCCESS,NONE,False
MND000010-C3-A1,MND000010,treatment,3,2025-12-15,2025-12-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C4-A1,MND000010,treatment,4,2026-01-15,2026-01-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C5-A1,MND000010,treatment,5,2026-02-16,2026-02-16,1,99900,CARD_EMANDATE,AXIS,,10,16,1,FAILED,NONE,False
MND000010-C5-A2,MND000010,treatment,5,2026-02-17,2026-02-16,2,99900,CARD_EMANDATE,AXIS,,9,17,2,FAILED,NONE,False
MND000010-C5-A3,MND000010,treatment,5,2026-02-18,2026-02-16,3,99900,CARD_EMANDATE,AXIS,,11,18,3,SUCCESS,NONE,False
MND000010-C6-A1,MND000010,treatment,6,2026-03-16,2026-03-16,1,99900,CARD_EMANDATE,AXIS,,10,16,1,SUCCESS,NONE,False
MND000010-C7-A1,MND000010,treatment,7,2026-04-15,2026-04-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C8-A1,MND000010,treatment,8,2026-05-15,2026-05-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C9-A1,MND000010,treatment,9,2026-06-15,2026-06-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C10-A1,MND000010,treatment,10,2026-07-15,2026-07-15,1,99900,CARD_EMANDATE,AXIS,,10,15,0,SUCCESS,NONE,False
MND000010-C11-A1,MND000010,treatment,11,2026-08-17,2026-08-17,1,99900,CARD_EMANDATE,AXIS,,10,17,2,SUCCESS,NONE,False
MND000011-C0-A1,MND000011,control,0,2025-09-08,2025-09-08,1,49900,CARD_EMANDATE,KOTAK,,10,8,1,SUCCESS,NONE,False
MND000011-C1-A1,MND000011,control,1,2025-10-07,2025-10-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000011-C2-A1,MND000011,control,2,2025-11-07,2025-11-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000011-C3-A1,MND000011,control,3,2025-12-08,2025-12-08,1,49900,CARD_EMANDATE,KOTAK,,10,8,1,SUCCESS,NONE,False
MND000011-C4-A1,MND000011,control,4,2026-01-07,2026-01-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000011-C5-A1,MND000011,control,5,2026-02-09,2026-02-09,1,49900,CARD_EMANDATE,KOTAK,,10,9,2,SUCCESS,NONE,False
MND000011-C6-A1,MND000011,control,6,2026-03-09,2026-03-09,1,49900,CARD_EMANDATE,KOTAK,,10,9,2,SUCCESS,NONE,False
MND000011-C7-A1,MND000011,control,7,2026-04-07,2026-04-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000011-C8-A1,MND000011,control,8,2026-05-07,2026-05-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000011-C9-A1,MND000011,control,9,2026-06-08,2026-06-08,1,49900,CARD_EMANDATE,KOTAK,,10,8,1,FAILED,NONE,False
MND000011-C9-A2,MND000011,control,9,2026-06-09,2026-06-08,2,49900,CARD_EMANDATE,KOTAK,,9,9,2,SUCCESS,NONE,False
MND000011-C10-A1,MND000011,control,10,2026-07-07,2026-07-07,1,49900,CARD_EMANDATE,KOTAK,,10,7,0,SUCCESS,NONE,False
MND000012-C0-A1,MND000012,treatment,0,2025-09-15,2025-09-15,1,99900,CARD_EMANDATE,KOTAK,,10,15,0,SUCCESS,NONE,False
MND000012-C1-A1,MND000012,treatment,1,2025-10-15,2025-10-15,1,99900,CARD_EMANDATE,KOTAK,,10,15,0,SUCCESS,NONE,False
