attempt_id,mandate_id,outcome,true_cause
MND000009-C0-A2,MND000009,SUCCESS,NONE
MND000009-C1-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C1-A2,MND000009,SUCCESS,NONE
MND000009-C2-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C2-A2,MND000009,SUCCESS,NONE
MND000009-C3-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C3-A2,MND000009,FAILED,INSUFFICIENT_FUNDS
MND000009-C3-A3,MND000009,SUCCESS,NONE
MND000009-C4-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C4-A2,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C4-A3,MND000009,FAILED,AFA_NOT_COMPLETED
MND000009-C5-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C5-A2,MND000009,SUCCESS,NONE
MND000009-C6-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C6-A2,MND000009,SUCCESS,NONE
MND000009-C7-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C7-A2,MND000009,SUCCESS,NONE
MND000009-C8-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C8-A2,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C8-A3,MND000009,SUCCESS,NONE
MND000009-C9-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C9-A2,MND000009,SUCCESS,NONE
MND000009-C10-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C10-A2,MND000009,SUCCESS,NONE
MND000009-C11-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
MND000009-C11-A2,MND000009,SUCCESS,NONE
MND000010-C0-A1,MND000010,SUCCESS,NONE
MND000010-C1-A1,MND000010,SUCCESS,NONE
MND000010-C2-A1,MND000010,SUCCESS,NONE
MND000010-C3-A1,MND000010,SUCCESS,NONE
MND000010-C4-A1,MND000010,SUCCESS,NONE
MND000010-C5-A1,MND000010,FAILED,VELOCITY_LIMIT_EXCEEDED
MND000010-C5-A2,MND000010,FAILED,INSUFFICIENT_FUNDS
MND000010-C5-A3,MND000010,SUCCESS,NONE
MND000010-C6-A1,MND000010,SUCCESS,NONE
MND000010-C7-A1,MND000010,SUCCESS,NONE
MND000010-C8-A1,MND000010,SUCCESS,NONE
MND000010-C9-A1,MND000010,SUCCESS,NONE
MND000010-C10-A1,MND000010,SUCCESS,NONE
MND000010-C11-A1,MND000010,SUCCESS,NONE
MND000011-C0-A1,MND000011,SUCCESS,NONE
MND000011-C1-A1,MND000011,SUCCESS,NONE
MND000011-C2-A1,MND000011,SUCCESS,NONE
MND000011-C3-A1,MND000011,SUCCESS,NONE
MND000011-C4-A1,MND000011,SUCCESS,NONE
MND000011-C5-A1,MND000011,SUCCESS,NONE
MND000011-C6-A1,MND000011,SUCCESS,NONE
MND000011-C7-A1,MND000011,SUCCESS,NONE
MND000011-C8-A1,MND000011,SUCCESS,NONE
MND000011-C9-A1,MND000011,FAILED,INSUFFICIENT_FUNDS
MND000011-C9-A2,MND000011,SUCCESS,NONE
MND000011-C10-A1,MND000011,SUCCESS,NONE
MND000012-C0-A1,MND000012,SUCCESS,NONE
MND000012-C1-A1,MND000012,SUCCESS,NONE
